ID,Loan Amount,Funded Amount,Funded Amount Investor,Term,Batch Enrolled,Interest Rate,Grade,Sub Grade,Employment Duration,Home Ownership,Verification Status,Payment Plan,Loan Title,Debit to Income,Delinquency - two years,Inquires - six months,Open Account,Public Record,Revolving Balance,Revolving Utilities,Total Accounts,Initial List Status,Total Received Interest,Total Received Late Fee,Recoveries,Collection Recovery Fee,Collection 12 months Medical,Application Type,Last week Pay,Accounts Delinquent,Total Collection Amount,Total Current Balance,Total Revolving Credit Limit,Loan Status
65087372,10000,32236,12329.36286,59,BAT2522922,11.13500686,B,C4,MORTGAGE,176346.6267,Not Verified,n,Debt Consolidation,16.28475781,1,0,13,0,24246,74.93255103,7,w,2929.646315,0.102055198,2.498290962,0.79372376,0,INDIVIDUAL,49,0,31,311301,6619,0
1450153,3609,11940,12191.99692,59,BAT1586599,12.23756263,C,D3,RENT,39833.921,Source Verified,n,Debt consolidation,15.41240945,0,0,12,0,812,78.29718601,13,f,772.769385,0.03618117,2.377214756,0.974821103,0,INDIVIDUAL,109,0,53,182610,20885,0
1969101,28276,9311,21603.22455,59,BAT2136391,12.54588365,F,D4,MORTGAGE,91506.69105,Source Verified,n,Debt Consolidation,28.13761862,0,0,14,0,1843,2.073039873,20,w,863.3243956,18.77866007,4.316277344,1.020074954,0,INDIVIDUAL,66,0,34,89801,26155,0
6651430,11170,6954,17877.15585,59,BAT2428731,16.73120146,C,C3,MORTGAGE,108286.5759,Source Verified,n,Debt consolidation,18.04373003,1,0,7,0,13819,67.46795121,12,w,288.173196,0.044131373,0.107020281,0.749970993,0,INDIVIDUAL,39,0,40,9189,60214,0
14354669,16890,13226,13539.92667,59,BAT5341619,15.00830022,C,D4,MORTGAGE,44234.82545,Source Verified,n,Credit card refinancing,17.20988604,1,3,13,1,1544,85.25076114,22,w,129.2395533,19.30664639,1294.818751,0.368952918,0,INDIVIDUAL,18,0,430,126029,22579,0
50509046,34631,30203,8635.931613,36,BAT4694572,17.24698602,B,G5,RENT,98957.47561,Not Verified,n,Credit card refinancing,7.914332762,3,2,16,0,2277,51.56447606,20,w,464.818124,0.088584348,5.043575438,0.581687716,0,INDIVIDUAL,32,0,42,51252,27480,0
32737431,30844,19773,15777.51183,59,BAT4808022,10.73143231,C,C5,RENT,102391.8243,Verified,n,Home improvement,15.08391059,0,0,11,0,14501,46.80880397,37,w,525.7381086,0.083528284,3.167937127,0.553076428,0,INDIVIDUAL,71,0,3388,42069,31068,0
63151650,20744,10609,7645.014802,58,BAT2558388,13.99368786,A,A5,OWN,61723.52014,Not Verified,n,Debt consolidation,29.82971503,0,0,14,0,13067,23.93662444,33,w,1350.245212,0.044964815,0.098448003,0.047589103,0,INDIVIDUAL,87,0,48,184909,43303,0
4279662,9299,11238,13429.45661,59,BAT5341619,11.17845658,G,C2,MORTGAGE,63205.09072,Verified,n,Credit card refinancing,26.24471043,0,0,6,0,549,15.94738599,17,w,4140.198978,0.01710584,0.530213558,0.216985337,0,INDIVIDUAL,144,0,26,68126,7482,0
4431034,19232,8962,7004.097481,58,BAT2078974,5.520412677,C,B5,RENT,42015.46586,Source Verified,n,Credit card refinancing,10.04854906,1,0,11,0,1361,35.07334484,30,f,2149.666963,0.008337931,2.912214614,0.886864352,0,INDIVIDUAL,9,0,35,71650,14871,0
22010590,8640,6428,8169.779401,59,BAT2252229,8.627336503,B,A5,RENT,41858.88652,Verified,n,Debt Consolidation,14.26647369,0,0,17,0,4005,61.27955642,46,f,107.8900429,0.04420826,3.502267497,0.769926275,0,INDIVIDUAL,34,0,26,141492,18025,0
3975562,16581,8767,10637.04903,59,BAT2333412,9.535987839,A,D4,MORTGAGE,39605.50605,Source Verified,n,Credit Consolidation,32.5409807,1,0,10,2,8266,25.62485547,21,w,1276.258125,0.029185139,7.742979135,1.120056184,0,INDIVIDUAL,55,0,30,33296,11356,0
1793329,31238,11317,12595.09746,58,BAT5341619,8.009151305,E,D3,MORTGAGE,32108.74657,Not Verified,n,Credit card refinancing,30.57773072,1,0,8,0,148,83.59974136,20,w,615.0105267,0.032341635,7.902346568,0.915752599,0,INDIVIDUAL,120,0,5,259368,14163,0
41969824,34653,18985,4917.125714,58,BAT4694572,10.59015342,F,B1,MORTGAGE,60883.55633,Source Verified,n,Green loan,11.16411216,0,0,11,0,19097,28.50511393,33,w,6344.628302,0.073004435,4.483083909,0.389227761,0,INDIVIDUAL,72,0,1572,304173,28826,0
3922183,31157,9885,31585.98335,59,BAT5849876,9.016251988,C,B4,OWN,83900.04313,Not Verified,n,Debt Consolidation,29.23281108,0,0,10,0,542,46.39051225,12,f,3157.741904,0.024345894,6.603832364,1.605330334,0,INDIVIDUAL,83,0,58,207613,12827,0
9813088,27859,33502,16545.20307,36,BAT2833642,14.84819001,B,A4,OWN,68062.5995,Source Verified,n,Credit card refinancing,17.71530168,0,0,9,0,5904,44.38899747,13,f,150.376663,0.039969602,3.345746622,0.627521787,0,INDIVIDUAL,126,0,26,212092,15379,1
